parser,context_uid,pages,questions,word_error_rate,text_accuracy_from_wer,reading_order_accuracy,table_cell_f1,table_shape_match,table_exact_match,extractive_answer_retention,arithmetic_operand_retention,runtime_seconds,run_status
pymupdf4llm,75c4ce3e-859b-4c3c-8443-6b8b3a70724f,1,6,0.021346469622331693,0.9786535303776683,0.9885057471264368,0.9545454545454545,0,0,1.0,1.0,2.635156,ok
pymupdf4llm,e8a14965-257d-4945-9f13-d0e2e84d9ff8,1,6,0.05352112676056338,0.9464788732394366,0.971830985915493,0.888888888888889,0,0,1.0,1.0,0.619614,ok
pymupdf4llm,d873a0cf-2e57-46f3-b9a5-2596808ffa00,1,6,0.00975609756097561,0.9902439024390244,1.0,0.9743589743589743,1,0,1.0,0.875,0.428210,ok
pymupdf4llm,d7d65228-96c1-4890-951c-c3d7578f8031,1,6,0.08670520231213873,0.9132947976878613,0.9479768786127167,0.6486486486486486,1,0,1.0,0.8571428571428571,0.444726,ok
pymupdf4llm,9989ca79-5332-47be-a08e-85f2648cdde7,1,6,0.005934718100890208,0.9940652818991098,1.0,0.9924812030075187,1,0,1.0,1.0,1.779884,ok
pymupdf4llm,d8568399-5323-490a-9ea9-90968abca2f4,2,6,0.003878474466709761,0.9961215255332903,0.9974143503555268,0.9278350515463918,1,0,1.0,1.0,3.320636,ok
pymupdf4llm,c29582f8-d95d-480c-8daf-320273546471,1,6,0.07881773399014778,0.9211822660098522,0.9556650246305419,0.90625,0,0,1.0,0.875,0.612455,ok
pymupdf4llm,47fb3538-2c0a-4a82-97b2-90a1543b871d,1,6,0.04597701149425287,0.9540229885057472,0.9655172413793104,0.8888888888888888,1,0,1.0,1.0,0.626919,ok
pymupdf4llm,e71199c7-f1f7-462e-af00-a1a97247320f,1,6,0.10256410256410256,0.8974358974358975,1.0,0.888888888888889,0,0,1.0,0.8571428571428571,0.081714,ok
pymupdf4llm,d476a981-e201-4b5f-9e39-a7b941bfac18,1,6,0.012048192771084338,0.9879518072289156,1.0,0.9919999999999999,1,0,1.0,1.0,0.906143,ok
pymupdf4llm,e6e7a1b1-07ba-4347-83df-8137dd88fd81,1,6,0.008733624454148471,0.9912663755458515,1.0,0.9863013698630138,1,0,1.0,1.0,0.793329,ok
pymupdf4llm,65264b50-696b-4a33-ab5b-16210448870f,1,6,0.08042895442359249,0.9195710455764075,0.9329758713136729,0.8264462809917354,0,0,1.0,1.0,2.734733,ok
pymupdf4llm,c957de22-1cb4-4d10-be39-12a631ec2d0c,1,6,0.043478260869565216,0.9565217391304348,1.0,0.9387755102040816,1,0,1.0,0.7777777777777778,0.304633,ok
pymupdf4llm,bd57880a-3395-45a5-83b1-8adc4483d4bd,1,6,0.012903225806451613,0.9870967741935484,1.0,0.9777777777777777,1,0,1.0,0.875,0.354700,ok
pymupdf4llm,d58cd518-2123-4c6b-ab97-dc7b0a1896a2,1,6,0.04225352112676056,0.9577464788732395,1.0,0.888888888888889,1,0,1.0,0.8333333333333334,0.234691,ok
pymupdf4llm,1e513178-a4f6-4446-90b1-8c379ac22f49,1,6,0.0,1.0,1.0,1.0,1,1,1.0,1.0,0.403114,ok
pymupdf4llm,2f655c5a-3936-48e6-aa15-4145a5c12c3f,1,6,0.06666666666666667,0.9333333333333333,0.9686274509803922,0.9719626168224299,0,0,1.0,1.0,1.149198,ok
pymupdf4llm,4e94f70f-b7e3-453e-ae92-846768589e75,1,6,0.04,0.96,0.984,0.9532710280373832,0,0,0.6666666666666666,0.8571428571428571,1.005526,ok
pymupdf4llm,ed9804d6-e583-47eb-a945-82fc6343541e,1,6,0.08530805687203792,0.9146919431279621,0.9620853080568721,0.9555555555555556,0,0,1.0,0.8571428571428571,0.988323,ok
pymupdf4llm,1c48b8a3-6132-49e3-b966-e8f6198a8724,1,6,0.0625,0.9375,1.0,0.9491525423728813,0,0,1.0,1.0,0.226996,ok
pymupdf4llm,34f239a7-17d1-4f11-8267-adc13f486668,1,6,0.04186046511627907,0.958139534883721,0.9813953488372092,0.9565217391304348,0,0,1.0,1.0,0.708099,ok
pymupdf4llm,1b2ca134-09ae-4936-bc3d-453699823f6e,1,6,0.025390625,0.974609375,0.98828125,0.7692307692307692,0,0,1.0,0.8571428571428571,1.199065,ok
pymupdf4llm,97b55a6f-ce8f-49de-b53a-8a523ab47835,1,6,0.04081632653061224,0.9591836734693877,1.0,0.9577464788732395,1,0,1.0,1.0,0.509107,ok
pymupdf4llm,6abeb5d3-0dfa-497f-a7db-bda257756a99,1,6,0.06557377049180328,0.9344262295081968,1.0,0.896551724137931,0,0,1.0,1.0,0.123278,ok
pymupdf4llm,da44d518-c39a-4673-9298-31feeafc61e4,1,6,0.024630541871921183,0.9753694581280788,0.9852216748768473,0.9361702127659575,0,0,1.0,1.0,0.525805,ok
pymupdf4llm,ceb7f8c7-91ee-4244-ba35-93c4e30271bb,1,6,0.013513513513513514,0.9864864864864865,1.0,0.96875,1,0,1.0,1.0,0.801106,ok
pymupdf4llm,8b43d33f-3ad3-489a-b5b1-51fa95808128,1,6,0.03669724770642202,0.963302752293578,1.0,0.9600000000000001,1,0,1.0,1.0,0.843741,ok
pymupdf4llm,daf81839-002f-40c2-8067-b4ad7eaf1517,2,6,0.03217821782178218,0.9678217821782178,0.9826732673267327,0.8245614035087719,0,0,1.0,0.7,2.524466,ok
pymupdf4llm,65cde743-18a6-418f-8f5a-000660a38cdf,1,6,0.04516129032258064,0.9548387096774194,0.9806451612903225,0.9600000000000001,0,0,1.0,1.0,0.454642,ok
pymupdf4llm,5677fbce-7bb4-4f39-be85-a9ce618698c6,1,6,0.03611738148984198,0.963882618510158,0.981941309255079,0.9056603773584906,0,0,1.0,0.8571428571428571,1.176706,ok
pymupdf4llm,15348b2f-52e0-498d-b0ea-b73ae40815b3,1,6,0.013409961685823755,0.9865900383141762,0.9961685823754789,0.7804878048780488,1,0,1.0,1.0,1.128772,ok
pymupdf4llm,2d43502e-4c4a-4334-954c-25502374d317,1,6,0.04950495049504951,0.9504950495049505,0.9801980198019802,0.9361702127659575,0,0,0.75,1.0,0.291911,ok
pymupdf4llm,dace18a6-701f-49d4-a16d-078e5b62fc94,1,6,0.03317535545023697,0.966824644549763,0.985781990521327,0.8607594936708861,1,0,1.0,0.75,0.657956,ok
pymupdf4llm,a7a7ede0-4575-4ace-8d5b-371db74ef3c1,1,6,0.05511811023622047,0.9448818897637795,0.9606299212598425,0.8292682926829269,1,0,1.0,1.0,0.238702,ok
pymupdf4llm,64587c9c-afc2-45a9-8f47-df5dd18bd913,1,6,0.10666666666666667,0.8933333333333333,0.9533333333333334,0.9411764705882353,0,0,1.0,0.75,0.392847,ok
